domain,source_type,indicator,supplier_name,category,jurisdiction_hint,verification_needed
dekringloper.nl,SPF include,_spf.zivver.com,Zivver,secure mail,Nederlandse leverancier,ja
dekringloper.nl,SPF include,spf.ess.de.barracudanetworks.com,Onbekend,onbekend,Onbekend,ja
dekringloper.nl,External script,gmpg.org,Onbekend,onbekend,Onbekend,ja
dekringloper.nl,External script,use.fontawesome.com,Onbekend,onbekend,Onbekend,ja
dekringloper.nl,External script,www.googletagmanager.com,Google Tag Manager,analytics/tracking,VS leverancier,ja
dekringloper.nl,Tracker hint,googletagmanager.com,Google Tag Manager,analytics/tracking,VS leverancier,ja
dekringloper.nl,Hosting hint,Onbekend,Onbekend,onbekend,Onbekend,ja
ofgv.nl,MX,0 ofgv-nl.mail.protection.outlook.com,Microsoft 365 / Exchange Online,mail/cloud,VS leverancier met mogelijke EU-regio,ja
ofgv.nl,SPF include,_spf.iprox.nl,Onbekend,onbekend,Onbekend,ja
ofgv.nl,SPF include,spf.afas.online,Onbekend,onbekend,Onbekend,ja
ofgv.nl,SPF include,spf.protection.outlook.com,Microsoft 365 / Exchange Online,mail/cloud,VS leverancier met mogelijke EU-regio,ja
ofgv.nl,SPF include,spf.topdesk.net,TOPdesk,servicedesk/SaaS,Nederlandse leverancier,ja
ofgv.nl,External script,maxcdn.bootstrapcdn.com,Onbekend,onbekend,Onbekend,ja
ofgv.nl,Tracker hint,piwik,Onbekend,onbekend,Onbekend,ja
ofgv.nl,Hosting hint,Onbekend,Onbekend,onbekend,Onbekend,ja
archiefgooienvechtstreek.nl,MX,30 spamfilter02.ezorg.nl,Onbekend,onbekend,Onbekend,ja
archiefgooienvechtstreek.nl,MX,20 spamfilter01.ezorg.nl,Onbekend,onbekend,Onbekend,ja
archiefgooienvechtstreek.nl,MX,10 spamfilter.ezorg.nl,Onbekend,onbekend,Onbekend,ja
archiefgooienvechtstreek.nl,SPF include,_spf.ezorg.nl,Onbekend,onbekend,Onbekend,ja
archiefgooienvechtstreek.nl,SPF include,spf.hosting.deventit.net,Onbekend,onbekend,Onbekend,ja
archiefgooienvechtstreek.nl,SPF include,spf.protection.outlook.com,Microsoft 365 / Exchange Online,mail/cloud,VS leverancier met mogelijke EU-regio,ja
archiefgooienvechtstreek.nl,External script,cdnjs.cloudflare.com,Cloudflare,cdn/waf,VS leverancier met wereldwijde edge,ja
archiefgooienvechtstreek.nl,External script,siteimproveanalytics.com,Onbekend,onbekend,Onbekend,ja
archiefgooienvechtstreek.nl,Tracker hint,siteimprove,Onbekend,onbekend,Onbekend,ja
archiefgooienvechtstreek.nl,Hosting hint,Onbekend,Onbekend,onbekend,Onbekend,ja
metropoolregioamsterdam.nl,MX,0 metropoolregioamsterdam-nl.mail.protection.outlook.com,Microsoft 365 / Exchange Online,mail/cloud,VS leverancier met mogelijke EU-regio,ja
metropoolregioamsterdam.nl,SPF include,_spf.argewebhosting.nl,Onbekend,onbekend,Onbekend,ja
metropoolregioamsterdam.nl,SPF include,servers.mcsv.net,Onbekend,onbekend,Onbekend,ja
metropoolregioamsterdam.nl,SPF include,spf.protection.outlook.com,Microsoft 365 / Exchange Online,mail/cloud,VS leverancier met mogelijke EU-regio,ja
metropoolregioamsterdam.nl,SPF ip4,194.165.34.0/24,Onbekend,onbekend,Onbekend,ja
metropoolregioamsterdam.nl,SPF ip4,46.17.24.3,Onbekend,onbekend,Onbekend,ja
metropoolregioamsterdam.nl,SPF ip4,46.17.25.3,Onbekend,onbekend,Onbekend,ja
metropoolregioamsterdam.nl,SPF ip4,85.17.186.78,Onbekend,onbekend,Onbekend,ja
metropoolregioamsterdam.nl,SPF ip6,2001:1af8:4200:b1a0:1:1:1:8,Onbekend,onbekend,Onbekend,ja
metropoolregioamsterdam.nl,Hosting hint,Onbekend,Onbekend,onbekend,Onbekend,ja
bngbank.nl,MX,5 bngbank-nl.mail.protection.outlook.com,Microsoft 365 / Exchange Online,mail/cloud,VS leverancier met mogelijke EU-regio,ja
bngbank.nl,SPF include,_spf.emply.com,Onbekend,onbekend,Onbekend,ja
